==============================================================================
VIDEOS 4 TO 21  |  ASSET REUSE AND CHANGE TABLE
==============================================================================

Generated: Sunday, September 13, 2026 | 2:34 PM CT

------------------------------------------------------------------------------

THE TEST

  An asset is not rebuilt because a sentence was reworded. Each existing
  visual was checked against the story-led script and classified by what
  the evidence supports.

------------------------------------------------------------------------------

CLASSIFICATION

    REUSE          149
    COPY UPDATE    30
    REBUILD        4
    REMOVE         2

------------------------------------------------------------------------------

EVERY ASSET

  ASSET                                STATUS        TREATMENT    CUE
        materially, so the cue is re-anchored and the card copy checked
        against the new wording.

  V4   v4_04_remove_the_title  [COPY UPDATE]
        The card is unchanged and still teaches what this part of the
        story-led script teaches. Only the sentence it lands on changed, so
        the cue is re-anchored.

  V4   v4_05_task_list_vs_judgment  [COPY UPDATE]
        The card is unchanged and still teaches what this part of the
        story-led script teaches. Only the sentence it lands on changed, so
        the cue is re-anchored.

  V4   v4_06_gap_is_not_a_verdict  [COPY UPDATE]
        The card is unchanged and still teaches what this part of the
        story-led script teaches. Only the sentence it lands on changed, so
        the cue is re-anchored.

  V4   v4_07_three_line_readiness_case  [COPY UPDATE]
        The card is unchanged and still teaches what this part of the
        story-led script teaches. Only the sentence it lands on changed, so
        the cue is re-anchored.

  V4   v4_08_what_it_does_not_guarantee  [REBUILD]
        The teaching moment survives but the story-led script rewrites it
        materially, so the cue is re-anchored and the card copy checked
        against the new wording.

  V4   v4_09_cta  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V4   v4_10_watch_next  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V5   v5_02_four_things  [COPY UPDATE]
        The card is unchanged and still teaches what this part of the
        story-led script teaches. Only the sentence it lands on changed, so
        the cue is re-anchored. The four questions now arrive out of the car
        analogy rather than as the opening claim.

  V5   v5_03_carry_test  [COPY UPDATE]
        The card is unchanged and still teaches what this part of the
        story-led script teaches. Only the sentence it lands on changed, so
        the cue is re-anchored.

  V5   v5_04_translate  [COPY UPDATE]
        The card is unchanged and still teaches what this part of the
        story-led script teaches. Only the sentence it lands on changed, so
        the cue is re-anchored.

  V5   v5_05_relearn_without_beginner  [COPY UPDATE]
        The card is unchanged and still teaches what this part of the
        story-led script teaches. Only the sentence it lands on changed, so
        the cue is re-anchored.

  V5   v5_06_confidence_both_directions  [COPY UPDATE]
        The card is unchanged and still teaches what this part of the
        story-led script teaches. Only the sentence it lands on changed, so
        the cue is re-anchored.

  V5   v5_07_prove_the_level  [COPY UPDATE]
        The card is unchanged and still teaches what this part of the
        story-led script teaches. Only the sentence it lands on changed, so
        the cue is re-anchored.

  V5   v5_08_four_line_move_case  [REBUILD]
        The teaching moment survives but the story-led script rewrites it
        materially, so the cue is re-anchored and the card copy checked
        against the new wording.

  V5   v5_09_cta  [COPY UPDATE]
        The card is unchanged and still teaches what this part of the
        story-led script teaches. Only the sentence it lands on changed, so
        the cue is re-anchored.

  V5   v5_10_watch_next  [COPY UPDATE]
        The card is unchanged. The story-led V5 speaks no Watch Next line, so
        the card is cued off the final spoken sentence and remains the last
        full-screen visual.

  V6   v6_01_movement_is_not_growth  [COPY UPDATE]
        Re-anchored one beat later. The story-led script opens this video on a
        recognition moment, and the old cue sat on the scene prose itself,
        where a full-screen card would cover the very thing the pass was
        written to create. The card is unchanged and now lands on the line the
        scene builds to.

  V7   v7_03_dependable_people  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V7   v7_04_complexity  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V7   v7_07_review_point  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V8   v8_01_success_hides_the_work  [COPY UPDATE]
        Re-anchored one beat later. The story-led script opens this video on a
        recognition moment, and the old cue sat on the scene prose itself,
        where a full-screen card would cover the very thing the pass was
        written to create. The card is unchanged and now lands on the line the
        scene builds to.

  V8   v8_04_weak_and_strong_before  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V8   v8_05_accurate_attribution  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V8   v8_07_existence_use_effect  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V13  v13_09_cta  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V14  v14_05_same_word_different_decision  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V14  v14_08_research_boundary  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V16  v16_01_called_then_skipped  [COPY UPDATE]
        Re-anchored one beat later. The story-led script opens this video on a
        recognition moment, and the old cue sat on the scene prose itself,
        where a full-screen card would cover the very thing the pass was
        written to create. The card is unchanged and now lands on the line the
        scene builds to. It now punctuates the end of the scene rather than
        opening over it.

  V17  v17_01_two_days_forty_minutes  [COPY UPDATE]
        Re-anchored one beat later. The story-led script opens this video on a
        recognition moment, and the old cue sat on the scene prose itself,
        where a full-screen card would cover the very thing the pass was
        written to create. The card is unchanged and now lands on the line the
        scene builds to. The card shows the two-days-to-forty-minutes
        contrast, so it lands where the contrast completes.

  V17  v17_04_four_lines  [COPY UPDATE]
        The card is unchanged. The story-led script rewords the sentence it
        lands on, so only the cue moved.

  V18  v18_01_congratulated  [COPY UPDATE]
        Re-anchored one beat later. The story-led script opens this video on a
        recognition moment, and the old cue sat on the scene prose itself,
        where a full-screen card would cover the very thing the pass was
        written to create. The card is unchanged and now lands on the line the
        scene builds to.

  V20  v20_03_six_categories  [REBUILD]
        The teaching moment survives but the story-led script rewrites it
        materially, so the cue is re-anchored and the card copy checked
        against the new wording.

------------------------------------------------------------------------------

REMOVED, AND WHY

  v4_01_title_new_work_not_new
      The story-led V4 opens on Temidayo's own experience of stepping into
      three roles nobody had held. That is a recognition moment and it
      should stay on camera. A full-screen card over the first two sentences
      would cover exactly the moment the pass was written to create.

  v5_01_changed_tracks_not_zero
      The story-led V5 opens on Temidayo's own track changes and then moves
      into the car analogy, which is a spoken image rather than a diagram.
      Both are camera-led. The two-mistakes point this card carried is still
      made in the speech, immediately, so nothing is lost by staying on her.

------------------------------------------------------------------------------

SHORTS

    REUSE          93
    COPY UPDATE    15

  No Short was rebuilt or removed. Every framework a Short rests on is
  still taught in the story-led script; where the long-form reworded the
  supporting lines, the Short's wording was brought to the current script.
